fiscal_year,fund,department,tag_peoples_budget,class,total
2024,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2142000
2024,General Fund,Auditing (City Controller),Government Operations,Personal Services,10599672
2024,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,508573
2024,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",40000
2024,General Fund,Board of Ethics,Government Operations,Personal Services,1322433
2024,General Fund,Board of Ethics,Government Operations,Purchase of Services,52500
2024,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",7500
2024,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,1089023
2024,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,80681
2024,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",22727
2024,General Fund,City Commissioners,Government Operations,Personal Services,11193816
2024,General Fund,City Commissioners,Government Operations,Purchase of Services,14740101
2024,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",3183733
2024,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,City Council,Government Operations,Personal Services,16700583
2024,General Fund,City Council,Government Operations,Purchase of Services,2521885
2024,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",528650
2024,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2024,General Fund,City Council,Government Operations,Payments to Other Funds,100
2024,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2024,General Fund,City Treasurer,Government Operations,Personal Services,1819025
2024,General Fund,City Treasurer,Government Operations,Purchase of Services,3251903
2024,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",43724
2024,General Fund,Civil Service Commission,Government Operations,Personal Services,183057
2024,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2024,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2024,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,13360000
2024,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,5767611
2024,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,12246293
2024,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2024,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",505000
2024,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
